crd1,crd2,crd3,onaji1,onaji2,onaji3,kanyu,crd
0,0,0.200699987,28.45764502,6.832372158,5.218226885,0,0.200699987
6.284849597,3.916132077,4.036938527,12.98704112,0,0,0,14.2379202
0,0,0.628472092,10.42217372,0,0,0,0.628472092
0,0.591205526,0,15.19023749,3.465994141,4.105606046,0,0.591205526
0,0,0,23.40122602,9.189072727,3.094403851,0,0
0,0,21.78945096,3.292644673,2.758634302,0,0,21.78945096
9.507885308,3.979582702,4.758415397,21.08549668,0,0,0,18.24588341
0,0,0,9.342565208,0,1.060786983,0,0
0,0,0,4.205686819,0,0,0,0
0,0,0,2351.325796,0,0.80188207,0,0
0,0,0,49.75173983,2.56113512,3.946482968,0,0
0,0,0,34.69667808,0,1.737450501,0,0
0,0.922793427,0.999352025,9.514721343,0.71854305,1.194747237,0,1.922145452
0,0,0,182.8057627,7.141163394,13.32514839,0,0
0,0,9.442277773,21.01640041,0.917648424,0,0,9.442277773
0,0,0,3.852617008,6.797944696,2.521568481,0,0
0,0,0,20.67603868,1.620982835,1.278758036,0,0
0,0,0,73.24198032,1.582527953,1.390670538,0,0
0,0,0.735562903,6.565801335,0.881377124,2.830162315,0,0.735562903
0,0,0,10.92323372,0,6.775765996,0,0
0,0,0,60.53748815,0.315549454,1.557090192,0,0
0,0,0,244.3390585,0,0,0,0
0,0,0,554.248358,6.104776014,1.624822273,0,0
0,0,0,17.95433359,34.11564594,0,0,0
0,0,0,14.37001549,1.123494771,8.092606952,0,0
0,0,0,18.69815362,24.31381117,9.07059466,0,0
0,0,0,15.61505845,0,1.617099815,0,0
0,0,0,37.93366984,0,0,0,0
0,0,23.00612857,6.802449744,2.480667384,0.451516972,0,23.00612857
0,0,0,1.586884543,0,0,0,0
0,20.66424597,2.59960989,20.19264044,0,0,0,23.26385586
0,0,0,4.916745913,0,0.053325818,0,0
0,1.862001199,0.620764578,0.937639646,0,0.816455192,0,2.482765777
0,0,1.709776863,7.301855701,1.413118717,1.501775571,0,1.709776863
0,0,0,58.30594436,0,5.709291537,0,0
9.523659281,4.250903138,0,1.404572663,0,0,0,13.77456242
0,0,0,5.190743226,0,2.958891733,0,0
0,0,0,85.21001424,0,0.702526783,0,0
0,0,0.20793575,24.1872228,0.182014664,11.24967907,0,0.20793575
1.5871585,5.479899247,5.036156668,14.64744474,0,0,0,12.10321442
0,0,0,17.6785156,0,0,0,0
0,0,0,1.989007541,6.176900701,2.425819757,0,0
0,18.19206971,0,55.92794402,7.197434394,10.55110275,0,18.19206971
0,1.085921918,40.40003169,3.462961808,0,0.732016728,0,41.48595361
0,0,0,8.027521374,1.734227981,1.666486856,0,0
0,0,0,12.43983569,4.358730409,6.990793095,0,0
0,0,10.54832435,3.649381853,2.932606059,0,0,10.54832435
0,0,0,15.12445638,0,0,0,0
0,0,0,43.54181434,0,0,0,0
0,0,0,0.661050189,3.64449521,0,0,0
0,17.80397626,0,45.49634377,7.635919988,10.72393286,0,17.80397626
0,0,0,146.7816412,0,0.403064972,0,0
0,0,0,571.7767115,0,0,0,0
0,0,0,22.49027098,0.604979752,0.252993926,0,0
0,0,0,3.820702477,0,20.00561941,0,0
6.526338009,0.43299297,1.187250835,7.838367877,7.531093078,3.350090653,0,8.146581814
0,0,0,9.347572687,0.37589404,1.738487275,0,0
0,0,0,34.81607042,0,0,0,0
0,0,22.48581052,36.51102742,20.92695818,0.480122409,0,22.48581052
0,0,37.66727965,15.20262862,1.014772398,3.375022684,0,37.66727965
0,0,0,1.858586714,13.82802466,0,0,0
2.415303948,0,0,12.16388721,0.698097588,2.179143523,0,2.415303948
0,0,0,0.842985765,21.91346283,0.136654396,0,0
0,0,0,3.552137417,2.58903266,5.498487809,0,0
0,0,0,18.04966366,0,11.73700893,0,0
0,0,0,1.417281323,0.331856659,9.789608048,0,0
0,0,0,4.930249464,0,1.833142592,0,0
1.541163565,0,0,4.233827004,2.472913945,6.837211431,0,1.541163565
0,0,0,230.4982264,9.846062193,0,0,0
0,0,0,10.32532253,7.279290774,22.40888644,0,0
0,0,0,0.374379057,0,0.246125543,0,0
0,0,0,4.495834964,0,0,0,0
0,3.625489113,0,45.0294966,0,16.38180437,0,3.625489113
0,0,0,5.709743264,2.240230298,0,0,0
0,0,0,28.84069688,0,0,0,0
0,0,0,8.6554998,4.909607406,0.51035402,0,0
0,0,0,52.28901523,0,0,0,0
0,0,0.193197545,24.79726945,5.381239863,10.29369094,0,0.193197545
0,0,0,37.0572622,0.380900234,0.84959668,0,0
0,0,0,57.89259698,0,13.7879405,0,0
0,0,0,24.54941137,2.16511195,1.635670133,0,0
0,0,8.376863682,13.28020858,3.55112157,0,0,8.376863682
5.139536383,7.619182167,0,2.247502585,0,0,0,12.75871855
0,0,0,48.57496879,21.18956795,0,0,0
0,0,0,14.19730283,2.869707656,4.219970443,0,0
