num,x,y,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,onaji1,onaji2,onaji3,onaji4,onaji5,onaji6,onaji7,onaji8,onaji9
11,10.0,7.0,0.0,0.0,0.0,2.8900013237395026,1.9387306939563833,2.1122432376977622,4.399947675092794,9.162660270675827,4.384801988505664,0.0,14.736607941081443,0.0,2.7420475602741443,11.222557752037213,0.0,15.582653782295095,18.093171987634438,12.545506872080422
12,60.0,37.0,0.0,0.0,0.0,4.319874791842718,0.0,4.0626470142876165,1.0841236528420057,4.864135830727024,2.554652417313229,0.0,14.965201481802318,0.0,6.463901842626442,18.58176091170343,4.195735157236007,7.940266769450867,10.544258786678576,10.022235587953158
13,81.0,46.0,0.0,0.0,0.6918883397272164,0.0,0.0,0.0,0.0,1.2522648674345864,0.0,0.0,5.821350977119977,7.34686816715472,0.0,0.0,13.827013814633634,4.77899194466622,10.039358829620696,6.764760058485434
14,80.0,48.0,0.0,0.0,0.0,0.0,0.0,0.6414196402406812,0.0,0.0,0.0,0.0,0.0,0.0,4.493245546112943,6.60708619320403,6.942781068441241,0.0,10.461665737010403,12.48887054566976
15,81.0,28.0,0.0,0.0,0.0,2.2262663171655652,0.7125056665414312,0.0,2.0480630122444277,5.819709106184349,1.3321219012142325,37.267203391691154,6.302203614615477,0.0,6.575561238204276,20.35808405863081,4.640789003027785,5.914502621834694,9.807470741213912,9.92632443373579
16,52.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.003597478306397,0.6281067915427944,0.0,0.0,28.741605794639934,3.766760728674999,13.681779487256149,3.93421665515661,13.436041761273593,16.504997639389234,5.044730955199097,4.341904950169041
17,18.0,16.0,0.0,0.0,15.847403157840674,0.0,0.04903933794235017,1.0138642467990198,0.21017684430383024,4.219824369329597,0.0,0.0,0.0,8.231117055754854,6.888747133467244,7.753202766944831,2.3087226940989987,9.304059645018256,8.58774816183345,14.015311857494076
18,72.0,2.0,0.0,0.0,0.0,2.316743234607799,0.0,3.941786519034493,0.0,0.0,1.482808757393735,0.0,9.22651805000437,11.224027171068863,9.847997729448366,7.923950890335634,12.78746603845781,10.979047586217279,5.878067599016361,0.0
19,42.0,24.0,14.437476866726133,4.613400439904361,0.8610561163151831,0.0,2.017907533603875,0.4690365743615413,0.4050557846063489,0.0,3.6803679061422,0.0,0.0,10.88521389664593,11.411751503350251,13.464625099006735,7.407391541652812,3.8204065018895306,9.414739635876993,9.955819589315169
20,75.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824051545800903,1.495503400364638,0.0,0.0,0.0,0.0,1.9315264047733733,3.22449887415061,19.245817251691673,11.572236124664299,5.293152274529745
