num,x,y,spp,dbh01,dbh04,hgt
362,54.12637942,35.87845966,lc,9.740282517,10.12225438,7.6
363,49.09484622,31.69434569,lc,14.19662092,14.41943784,12.5
364,48.30982514,31.48790284,lc,15.02422663,15.50169146,14.9
365,47.65908721,32.86898487,lc,29.41183348,30.04845326,19.5
366,46.99462976,33.56187469,lc,8.307888029,8.721690881,7.2
367,46.16801231,31.56533686,bp,3.75,4.551831372,6
368,46.07217627,31.48121188,bp,6.875493542,7.161972439,5.1
369,45.8706027,31.3603271,bp,2.21,2.355493158,1.9
370,43.72842713,33.60514669,lc,16.61577606,16.61577606,15.6
371,41.1644353,32.32564816,lc,8.05324012,7.766761223,6.8
372,42.83335453,35.45691701,lc,21.58141028,21.89972017,16.1
373,41.3718795,38.890051,lc,15.9473253,15.75633937,13.7
374,42.97025744,41.07107673,lc,25.40112892,25.52845287,17.5
375,41.20610973,42.38492289,bp,3.59,0,4
376,41.42147761,42.17811395,bp,9.103662745,9.45380362,3.7
377,43.89162982,45.45955758,bp,2.6,2.47,3.6
378,43.99575369,45.33807417,bp,1.84,1.87,3.5
379,43.99146281,45.76436255,bp,3.35,3.947042589,3.8
380,45.32810974,45.80719108,lc,28.71155173,29.0935236,17.9
381,40.21012251,48.31303571,bp,4.9,5.156620156,5.5
382,40.10706909,48.14308422,bp,0.82,0.92,1.9
383,41.21848424,49.05824836,lc,19.03493119,18.93943823,13.6
384,51.82066451,43.40010826,bp,6.90732453,7.384789359,2.7
385,52.08192628,43.63370528,bp,4.806479281,5.252113122,5.5
386,54.81910557,42.76340323,lc,25.52845287,25.81493177,18.1
387,56.70512746,42.45833474,bp,4.010704566,4.551831372,6.2
388,56.641903,40.5170266,lc,19.51239602,19.76704393,14.7
389,57.68435541,43.11920134,lc,21.70873424,21.74056523,17.8
390,59.24344693,42.67898727,lc,14.70591674,15.05605762,11.4
391,56.6048896,44.28198239,bp,6.175211792,0,4.9
392,56.66615475,44.38516467,bp,1.99,2.01,3.4
393,56.64079023,44.11067833,bp,3.59,3.69239468,5.7
394,56.6127641,43.9886247,bp,1.96,2.09,4.6
395,56.50970959,44.3043637,bp,1.09,1.19,2.5
396,56.61273539,44.42892843,bp,1.1,0,1.9
397,56.71268481,44.48547746,bp,0.67,0.7,1.6
398,55.38592072,45.65191164,lc,14.89690267,14.99239564,13.6
399,53.72220849,47.11253852,lc,24.0642274,24.44619926,17.1
400,50.58367272,49.73697816,bp,3.82,4.424507418,5.2
401,66.61893456,0.557050436,bp,7.989578143,0,3.8
402,66.53471108,0.374789734,bp,4.233521486,4.424507418,4
403,66.56178935,0.290792642,bp,0.74,0,1.7
404,66.56178935,0.290792642,bp,0.75,0,0
405,0,0,lc,0,0,9.5
406,66.99738226,3.127279528,lc,27.31098823,27.75662208,19.9
407,65.23797052,5.401361588,lc,26.06957968,26.92901637,21.3
408,61.73398257,6.440090477,lc,27.34281922,26.76986143,20.6
409,61.11679501,6.661022757,lc,7.18,7.31,5.1
410,60.68791657,9.054113058,lc,21.64507226,22.18619907,20.3
411,68.36649351,9.652787476,bp,4.583662361,4.710986316,3.7
412,68.51609582,9.627269032,bp,2.62,2.59,4.1
413,69.87801542,5.341596866,lc,13.87831104,13.973804,14.3
414,71.09286863,0.83492836,lc,13.62366313,13.91014203,12.1
415,73.47826153,3.67306577,lc,20.11718481,20.18084678,17
416,71.37005083,-1.841003366,lc,12.95521237,12.19126864,11.3
417,77.95397543,0.487152117,lc,24.00056542,23.7777485,19.8
418,77.76586343,3.007585164,lc,15.11971959,15.02422663,12.3
419,70.52641215,5.450352734,bp,2.94,3.119436885,6.2
420,70.33965363,5.482751345,bp,1.46,1.61,3.6
421,70.4092017,5.588939587,bp,1.75,1.9,4.2
422,70.35144694,5.814729991,lc,21.29493139,21.32676237,18.8
423,74.28673559,7.862712475,lc,16.83859298,17.02957891,15.5
424,77.81625301,9.081801299,lc,24.66901618,0,19.2
425,76.29927055,11.33895129,bp,12.00028271,12.25493062,14.5
426,76.43705143,11.78515235,bp,7.257465405,7.416620348,9.5
427,76.53608144,11.47296957,bp,1.63,1.6,1.7
428,74.83573739,12.26522492,bp,2.41,2.59,3.4
429,71.45795566,11.39812921,lc,15.62901541,15.6608464,14.1
430,70.52004641,15.60593005,lc,27.18366428,0,19.3
431,74.30874966,17.05886509,lc,19.22591713,19.73521294,15.5
432,80.09366675,12.85621979,lc,12.0321137,11.65014183,12.3
433,78.30769033,16.72743498,lc,26.13324166,25.91042474,19.2
434,74.55172368,18.41823684,bp,4.870141259,5.283944111,6.1
435,74.70785919,18.3893064,bp,4.965634224,5.029296202,7.2
436,74.62978817,18.28403051,bp,1.09,1.38,2.4
437,74.68750831,18.25150688,bp,0.59,1.28,2.2
438,74.77650853,18.44245025,bp,0.75,0.97,2.6
439,74.77650853,18.44245025,bp,0.51,0.92,2.1
440,69.89200171,18.83934027,bp,5.793239929,6.302535746,6.8
441,70.45039488,19.20899259,lc,30.81239698,31.28986181,20.7
442,68.63994171,10.55780055,lc,13.81464906,14.35577587,13.3
