num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,kabudachi,growth
112,17.36040106,38.3487362,bp,4.647324338,4.774648293,5.1,0.0,0.0,2.8242576640410677,3.976096841003709,22.66165507552482,13.385098539349277,6.039924671646551,10.70600860542036,7.933952868643222,0.0,0.0424413183333335
116,8.573776002,33.91851823,bp,1.91,1.92,3.2,21.72634545240776,0.0,12.707627690042322,11.817828448853536,6.317872994595798,2.3550384330664733,12.932392810333633,10.33209160410118,18.28063893155147,0.0,0.003333333333333336
120,2.671769976,36.37033317,bp,9.644789551,10.59971921,7.3,49.04857688946371,0.0,6.887983373987483,1.5173881769734483,0.0,21.2389736902975,12.185531906984098,16.30479345066529,3.5265113694313945,0.0,0.3183098863333331
121,2.907135255,36.66064334,bp,7.734930234,7.989578143,5.7,71.30559711411051,3.0012901727605463,1.918447981212989,6.580592410661267,2.597953140136411,21.655551813973872,10.213407168208114,10.526162456394298,7.101279489319489,0.0,0.08488263633333333
123,3.371224653,35.80305414,bp,1.39,1.878028328,3.7,36.31040159685206,0.0,1.9418377138458771,5.971168412549208,13.111211124511833,11.899816829145536,14.663940063469608,8.820008995486601,3.7618024010359856,59.707254762870406,0.1626761093333334
124,3.421525919,35.79970506,bp,3.01,3.023943919,3.6,27.74403772762883,7.712548205412836,1.9715904986113308,5.821348467296341,13.136858659874148,11.85202338726852,14.627122552086629,8.779851855637105,3.760795179310882,27.57245319614281,0.00464797300000012
125,4.98342774,37.21790155,bp,1.28,1.273239545,2.4,5.761221179547077,9.961340197710582,9.59002553935606,8.395276725077775,13.009602860201168,3.736864832498132,8.216206428670759,8.952608538838208,24.145258151839208,0.0,-0.0022534849999999995
126,5.604086882,37.34503559,bp,3.65,4.042535555,5.4,2.0203734547452763,0.0,19.25576703511748,9.147571900691531,10.111144440392495,2.994389897967144,7.718558443903055,18.360253731816957,18.678717255002525,0.0,0.13084518499999995
173,39.42068245,46.00163663,bp,2.42,2.514648101,2.4,0.0,0.0,2.37079074252771,20.91047792849729,27.66411233469133,13.049532430826119,12.989795209307573,6.299979383607818,9.231398338775907,59.20597433647842,0.03154936700000007
174,39.87275949,45.95562928,bp,3.88,3.978873577,2.4,0.0,0.0,2.4303253427698897,18.837660762578835,18.162745852014766,30.212851482383055,4.1557039451385185,9.201250551079902,8.97680635984806,43.87680292920156,0.032957859
175,39.6571899,46.05794381,bp,8.880845825,9.230986699,9.0,0.0,0.0,2.4947630103292573,11.920855896779056,32.57301970088397,24.894727209497425,6.893082144137713,6.246034112974021,9.097171986804874,28.786761953894874,0.11671362466666697
176,39.41650565,46.04528919,bp,0.62,0.66,1.8,0.0,0.0,2.4107416011297023,20.957306775728952,27.93746647816453,13.091310288180544,13.008445571295558,6.310787345268208,9.23294292929426,100.37758773355237,0.013333333333333345
193,31.57032102,49.18675633,bp,10.12225438,10.21774735,13.2,0.0,18.731080195899075,1.161986320223625,49.165519608386425,31.548036687536754,16.424873549173643,4.8862858411309364,19.114941154899558,9.585586471153533,15.052871472880256,0.03183099000000015
194,31.74712285,49.24638642,bp,2.34,2.76929601,4.8,0.0,21.928960086250747,1.2318881048794756,57.454148920562155,24.105674139415687,16.007391334882225,9.96958708438404,13.775425498969978,9.737399218703763,60.22852468820066,0.1430986700000001
195,31.86148837,49.31583926,bp,0.8,0.85,2.4,17.63925544229994,0.0,1.2785922047195342,58.48085880311333,16.07441513879733,23.725181844925988,10.026368570194924,13.629427440671833,9.837778370979194,49.26967423018813,0.016666666666666646
197,33.94052762,47.83486708,bp,1.92,2.132676237,2.5,0.0,71.87249802566832,18.122109713976638,0.0,0.0,23.355389268345526,17.53253886013172,16.050064176055944,17.30670340604445,0.0,0.07089207900000005
202,36.09298382,48.96555343,bp,8.403380995,8.880845825,8.0,18.10205161736932,45.91300364093764,12.819897569227308,7.700863737559655,27.026970313603606,6.627927203540652,5.9573290755932495,16.96457780266902,9.175406518460091,0.0,0.15915494333333355
217,25.69714677,39.75189904,bp,13.1461983,14.70591674,10.6,0.0,5.627085073493103,3.494568789216214,25.00216350640547,9.689279130845918,8.696981625439467,21.053365538349695,13.826486087149021,5.601983825676827,15.905115871373578,0.5199061466666665
218,25.84782801,39.61481465,bp,3.24,3.565070725,4.8,0.0,5.823559117193553,3.702970556224427,11.723888492934115,23.05197136274781,8.696996611948528,20.86195858286415,10.347259158359885,9.065521209564235,64.53450840418344,0.10835690833333327
