num,x,y,spp,dbh01,recruit,ds,ss,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ds8,ds9,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9
50,1.070079198,30.0129831,bp,1.54,1,22.204063764795283,186.4315767422322,2.836211289063881,3.2829799119588716,2.1108879521886963,0.0,0.22864836811089564,4.178747025624572,3.51072545211229,3.177149063157335,2.8787147025787414,186.4315767422322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1.087553512,30.01110021,bp,0.57,1,22.25759781723802,144.6221547070835,2.906403725863086,3.2703060899678604,2.1030756551178045,0.0,0.22894905825271453,4.1767775361849555,3.5142276378403916,3.1787452242102683,2.879112889800943,144.6221547070835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,19.16681091,28.65414696,bp,1.87,1,5.0796115734249145,363.21537256271665,0.0,0.0,0.5566993388326373,0.2484120679855944,0.0,1.553208271242187,0.8027770591629988,1.3552227358996503,0.5632921003018467,350.9488930821915,0.0,0.0,0.0,0.6297013137136753,8.20515164708458,0.28011250752958694,0.0,3.1515140121973517
90,19.01433591,28.50552349,bp,1.86,1,5.112288895108391,324.70391173273333,0.0,0.0,0.0,0.7942062180278879,0.0,1.588775804431607,1.2918629263797403,1.0408246913556276,0.3966192549135288,312.8115672415349,0.0,0.0,0.0,0.0,8.52961750820377,0.2719223223020722,0.46039142384161313,2.6304132368510045
93,19.5558921,28.66597854,bp,0.69,1,4.976388798037584,192.4572597331503,0.0,0.0,0.0,0.7497743279029617,0.08409701116949665,1.4124180173503351,0.8510725028855483,1.3032527588365461,0.5757741798926966,179.88517413291095,0.0,0.0,0.0,2.1703675972062793,7.151143082046043,0.0,2.0030923930308995,1.247482527956125
95,19.31219183,28.19753908,bp,2.02,1,5.025719026250792,328.90350362516597,0.0,0.0,0.0,0.7005976897583843,0.8111483336534873,0.7628763800075288,1.045235450025269,1.2894569617884988,0.4164042110176237,317.31237351821915,0.0,0.0,0.0,0.0,8.219251312074388,0.2621414471173808,0.4803743269961187,2.6293630207589223
96,19.39503726,28.23270488,bp,1.24,1,5.007840421463669,253.5942047877227,0.0,0.0,0.0,0.6974730968153551,0.8040406546324754,0.7547186439606055,1.0543773418028397,1.2786117292520205,0.4186189550003737,241.89624737353063,0.0,0.0,0.0,0.0,8.299764904343077,0.26421701632765754,0.47838915237989293,2.6555863411414538
108,19.67472816,13.7331669,bp,0.44,1,23.763825895411568,100.12638487908173,5.8822705393502,0.3495690410580972,0.0,9.704133168547514,4.795241035950776,0.0,0.4101414437533392,0.4869438906319196,2.1355267761197196,72.69851967341418,0.0,8.351053019479282,8.481701975410044,1.8523471737010448,8.218407341792561,0.5243556952846051,0.0,0.0
109,19.51290635,13.84346365,bp,0.19,1,22.335336790395495,122.13033620975907,4.903179718820487,0.3927016125638468,0.0,9.402556968715988,4.6413869850615574,0.0,0.41686702239012907,0.48419307886426094,2.094451403979224,95.73307749600677,0.0,5.520803618354256,5.874397893424124,4.7652563302719955,9.704148455346385,0.5326524163555258,0.0,0.0
110,19.66967545,13.82849535,bp,1.0,1,23.74140840331473,152.3116922907742,5.789751244162543,0.3577506271104536,0.0,9.760465819767342,4.80254623016549,0.0,0.4115077774585377,0.4895244447649388,2.129862259885419,125.26833867544488,0.0,6.261271451159941,10.281428070880152,1.8315100583094894,8.137466022254074,0.5316780127257184,0.0,0.0
126,21.83654062,11.59546112,bp,1.01,1,24.59103143269303,207.36164542896606,0.0,0.0,0.9814293187910041,16.372738767937154,0.1295943813476608,1.1634544818024612,2.3297366591779767,1.8900334526298779,1.7240443710068902,163.21888285296336,20.647612351937003,20.161725735770947,1.827648694526529,0.0,1.5057757937682443,0.0,0.0,0.0
137,24.04266054,10.75532407,bp,0.63,1,28.444679319277512,243.20542117312058,0.0,0.0,0.0,15.16809418436311,4.095470401401142,0.27539951058580614,1.2837486844548653,5.641789984673982,1.9801765537986116,217.69189090714758,4.789755992054389,18.57535252304997,0.0,0.0,1.0762219947428409,0.0,0.0,1.072199756125817
138,23.97581063,10.57747275,bp,0.9,1,27.811755017101827,221.98034694820734,0.0,0.0,0.0,7.026527035626701,11.327288850071554,0.4970231917376805,1.283318618559651,5.716464677459924,1.9611326436463163,188.76665982113974,12.381737270871422,18.69389605327009,0.0,0.0,1.0669570337411987,0.0,0.0,1.0710967691848954
141,23.80324496,10.79989943,bp,0.55,1,26.70385383824231,277.9374467455624,0.0,0.0,0.0,15.339509873134643,3.998793162477164,0.2859261519452785,1.3322807143890616,5.4688453950960545,0.2784985412001091,250.60776792503785,5.242164735447944,19.861473178647906,0.0,0.0,1.121751137185,0.0,1.1042897692436886,0.0
145,21.97132574,11.53273059,bp,1.33,1,24.943737404685606,225.8078791719869,0.0,0.0,0.931501899455157,16.099139131358964,0.4110663786828218,1.1896785247623045,2.3635391656792297,1.9081775811284936,2.0406347236186337,179.49793335901632,25.733499476017084,17.35700232084961,1.751065823841224,0.0,1.4683781922626837,0.0,0.0,0.0
150,22.02183317,12.08199862,bp,0.7,1,26.41124385051611,219.25043169503263,0.0,0.0,12.543367031985017,7.804687506988048,0.13287216393848386,3.132624079125192,0.27586906909438236,0.5057688956355844,2.016055103749403,180.7979574005066,14.247867118496304,20.858840106587174,1.4319945027797656,0.0,1.5051595636272088,0.0,0.0,0.40861300303558357
153,22.27553891,12.64691356,bp,0.65,1,30.597094623306646,140.59315238003518,0.0,0.0,25.547561722322797,0.0,0.5588651528648436,2.0607770950210997,1.0560274571065948,0.512142201338524,0.8617209946527903,102.30600613085758,3.9711934849100503,30.94984241598138,1.4544778578304425,0.0,1.4801994630635051,0.0,0.0,0.4314330273921823
175,20.54820962,33.73393535,bp,1.27,1,4.946577022143476,322.03908059294986,0.0,0.0,0.0,0.41995610092371094,2.0987659130773917,0.0,0.18630622772330752,1.408930540415204,0.8326182400038626,310.16677953224496,0.0,0.0,0.0,4.773351481646905,7.098949579058007,0.0,0.0,0.0
180,20.6057334,34.51333553,bp,1.69,1,7.2026008296089294,236.3578909564816,0.0,0.0,0.0,1.1331959535237008,1.6868772831718575,0.0,0.20555099333037935,2.238504807385885,1.9384717921971073,215.407582630037,9.885197464685398,0.0,0.0,4.852251515026132,0.550997061279297,5.661862285453772,0.0,0.0
