num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,crd,kabudachi,death
66,11.13052151,20.59945239,lc,25.01915705,25.30563595,18.5,0.0,1.763559450159682,6.479608730141182,16.91029210685639,0.0,27.422008802463882,12.657524270292527,3.470366207596543,10.431645888421743,79.13500545593195,0.0,1
67,3.659156888,11.25994876,lc,13.30535324,13.52817016,12.0,0.0,15.965874941091387,21.48212057005032,9.53279926109984,2.4894920786370434,12.55485957964896,2.165104364201433,13.914949453845288,15.118688053863789,93.22388830243807,0.0,1
71,5.023901706,12.1636339,lc,26.13324166,27.31098823,19.0,19.65535041306893,8.128788944007535,9.325680988630925,6.8473264700479906,7.461877678966362,11.257990430235187,17.111066988523525,8.133556831387258,1.523719816192819,89.44535856106053,0.0,1
77,5.20454851,12.7789701,lc,12.60507149,12.8597194,10.6,40.75010781685865,0.0,19.191253943655024,4.099314671726398,1.9113596861247162,16.27858083158708,19.382541990577966,6.315736116862298,0.5100473582178655,108.43894241560999,0.0,1
78,3.715008555,14.24362009,lc,22.91831181,23.14112873,18.9,0.0,0.0,29.30279325271441,0.0,2.0387536819379863,15.716708794309081,8.208558070015705,10.105522910792729,9.55243537411448,74.92477208388439,0.0,1
80,2.453480415,16.92841496,lc,9.230986699,9.485634608,7.3,22.524290558358366,0.0,8.413043503690814,0.0,11.248743148056478,11.466210829119781,11.22896983905616,15.353549432165877,10.386186789180993,90.62099409962848,0.0,1
81,5.687936563,19.39189958,lc,20.9766215,21.16760743,19.3,0.0,0.0,0.0,4.877253195269669,11.29061031132601,18.23131278503517,15.887555923893178,15.935663970627548,7.793019492932684,74.01541567908426,0.0,1
82,8.588312804,18.38098343,lc,12.66873347,13.08253632,12.9,0.0,0.0,1.2798524486505833,21.938433620736873,7.016959218035291,11.290373383979372,14.013540562940777,14.145612048048712,19.67733555735821,89.36210683974981,0.0,1
83,1.601405654,23.05207851,lc,22.60000192,22.31352302,20.2,12.6460307157063,14.031823507439341,0.0,0.0,5.747841022686245,14.920551560185514,21.840987756827136,14.489661641894296,3.3305542890703737,87.00745049380922,0.0,1
85,0.384002914,24.08419912,lc,20.84929755,21.64507226,16.3,0.0,33.73915719219248,0.0,0.0,0.0,11.497539385387258,20.276162568328424,19.056695746590627,8.225809947260295,92.79536483975909,0.0,1
88,6.588183478,23.63698908,lc,25.30563595,25.52845287,19.7,0.0,0.0,14.442581901911744,11.302038329087178,10.392242674526226,14.350436304964907,11.686191523385455,4.928750893718125,8.22354676150005,75.32578838909369,0.0,1
