num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,crd,kabudachi,growth
86,17.13405091,31.25496777,lc,0.82,1.58,1.8,4.229439233901115,0.0,0.0,12.326618109670587,10.981785326050563,1.4158426032871487,0.0,0.7927041045232388,4.336327244756778,34.08271662218943,0.0,0.25333333333333335
87,17.51724033,31.15971287,lc,1.67,3.119436885,2.5,2.076730641795757,0.0,0.623369918333552,15.669594789214061,8.593023772088305,1.3309368152408523,0.0,0.5136828561315812,5.322366558043324,34.12970535084743,0.0,0.4831456283333333
99,10.12049551,24.04790941,lc,2.928450953,4.169859509,3.6,11.166669971303975,12.261530609522465,24.989084416329813,3.391858818093463,2.6377172752186246,1.2721931934443242,2.05219515601483,4.962390490356378,1.0378269223358818,63.77146685261976,0.0,0.41380285200000005
114,14.36820512,6.433147471,lc,0.14,1.02,1.4,0.0,0.0,0.23872533133441048,0.0,0.35056308822901977,2.260736897364346,0.0,5.38149779384425,4.447259232420256,12.678782343192283,0.0,0.29333333333333333
115,16.9360032,5.527596549,lc,0.65,1.25,1.8,0.0,0.0,0.05141776367202688,0.0,0.0,2.288372911327022,6.257792837591866,3.6226712932373335,7.361568799329978,19.581823605158228,0.0,0.19999999999999998
118,29.99815712,0.191974424,lc,3.342253805,4.583662361,3.4,3.7189842777385644,0.6906736973783,8.452282718707078,7.025520958596807,3.553522518592061,6.387694881571349,6.71324634802067,3.7077307639606922,7.7999484241663515,48.049604588731874,0.0,0.41380285200000005
119,29.93960955,1.097343111,lc,3.374084794,4.456338407,4.5,3.6838995199854763,1.0160605111167216,9.291309433605772,7.262461370024666,1.9121107332508194,5.116697720670732,10.107202999165578,4.938060077395209,3.899027743460645,47.226830108675614,0.0,0.36075120433333324
124,29.52573977,6.844938409,lc,2.67,3.883380611,3.2,3.372326959847142,4.423959589270245,9.154276340878038,4.25108081119348,3.3576786034346084,9.06575777097141,23.863203104713605,3.5378227414022767,4.479839375994879,65.5059452977057,0.0,0.40446020366666674
129,24.67635205,39.22583494,lc,1.28,2.228169203,2.5,0.0,0.0,1.3783155398069187,3.6647105211093516,2.2772114100120238,3.0538832403748644,8.18839957385269,5.9628272734755745,4.643028083897215,29.168375642528638,0.0,0.31605640100000004
154,20.23630558,13.53793779,lc,2.47,3.533239737,3.0,7.624906942719607,1.4843756241602366,11.663352077709431,24.495317098633,11.34862844474596,0.0,0.3145179292209488,2.410114440865619,0.9576928394252642,60.29890539748006,0.0,0.35441324566666665
155,20.02537707,14.53997785,lc,1.52,2.11,2.4,6.6762596373003555,2.7234255403844667,2.906469268065551,18.854517058547856,9.621902384687424,9.745520474553093,1.1155643200583805,0.4131354984055752,2.1023006460917606,54.15909482809446,0.0,0.19666666666666663
157,22.65033794,15.50511557,lc,1.15,2.18,1.4,0.0,41.726759593220564,0.768969818639483,8.680096903298006,12.652674664651668,7.063009466574511,1.6754245185347834,1.1343753392542455,0.7897407869432779,74.49105109111655,0.0,0.34333333333333343
182,21.3318663,38.494599,lc,4.647324338,5.856901906,5.2,6.814003358245998,0.0,0.0,2.237660990139757,11.47509709681737,5.939449014137242,0.4469574557214131,0.5356664632453008,0.8418262818310662,28.29066066013815,0.0,0.4031925226666668
184,23.61537132,41.38057606,lc,3.310422816,4.61549335,4.0,0.0,2.122775414891052,0.5329361199499587,3.3601863139076675,3.507177715849721,5.13425363814322,7.257683079553118,4.270229519138841,4.702608167484829,30.887849968918406,0.0,0.43502351133333345
204,34.51139226,39.26488458,lc,2.12,3.596901714,3.3,0.0,0.0,0.0,0.0,0.0,0.4210782831702172,1.8723642359253494,5.008562439696371,0.4935221253579961,7.795527084149935,0.0,0.49230057133333327
205,38.3698319,35.03761996,lc,2.41,3.756056657,2.8,0.0,0.0,0.0,1.1337755049736442,0.6368209535804805,4.614600994091784,11.614245899997224,0.3552682566071246,1.7810983883280809,20.135809997578342,0.0,0.44868555233333324
