#num,x,y,spp,dbh01,dbh04,hgt,sprout
148,21.78553769,11.94731163,bp,3.469577759,3.501408748,4.6,146
149,21.95167055,12.18468638,bp,5.98422586,5.856901906,5.6,146
150,22.02183317,12.08199862,bp,0.7,1.11,2,146
151,22.1852257,12.1449738,bp,3.501408748,3.69239468,4.9,146
152,21.91691253,12.38250162,bp,6.525352667,6.748169587,6.4,146
153,22.27553891,12.64691356,bp,0.65,0,1.3,146
154,20.23630558,13.53793779,lc,2.47,3.533239737,3,0
155,20.02537707,14.53997785,lc,1.52,2.11,2.4,0
156,23.07038032,14.56999879,lc,30.97155193,0,16.9,0
157,22.65033794,15.50511557,lc,1.15,2.18,1.4,0
158,24.08199236,14.32994551,lc,21.32676237,0,11.4,0
159,26.9097031,14.48649381,pt,2.12,3.023943919,3.5,0
160,27.9193464,12.97397212,pt,11.65014183,12.50957853,11.5,0
161,29.69355236,12.81717374,lc,2.45,0,3.6,0
162,29.62009359,21.08611953,pt,1.34,2.12,1.6,0
163,26.37392393,20.92099772,pt,0.63,0.95,2,0
164,25.67749682,20.35854879,pt,1.08,2.02,2.5,0
165,26.10506321,23.11284033,lc,3.533239737,0,3.7,0
166,25.0995098,23.4828448,lc,0.69,0,1.8,0
167,24.17454344,27.52953181,pt,0.4,0.54,1.8,0
168,26.02338816,28.85908396,lc,5.506761031,0,3.7,0
169,30.00433358,27.59226359,lc,13.05070533,0,9.9,0
170,25.09757866,34.13590656,bp,15.59718442,0,6.1,170
171,25.43332391,34.33418221,bp,4.233521486,4.392676429,3.7,170
172,24.90735078,34.66329612,bp,2.22,2.450986124,3.6,170
173,20.55777251,33.49386522,bp,7.512113314,7.671268257,7.7,176
174,20.86937028,33.30621965,bp,3.119436885,3.947042589,4.6,176
175,20.54820962,33.73393535,bp,1.27,2.005352283,2.8,176
176,20.65225761,33.79418337,bp,10.44056427,11.23633898,9.9,176
177,20.85173115,33.61657192,bp,6.111549815,6.875493542,5.6,176
178,21.0009762,33.60789967,bp,7.671268257,8.116902098,9.2,176
179,20.97847287,33.95872606,bp,10.66338119,0,6.8,176
180,20.6057334,34.51333553,bp,1.69,2.132676237,2.7,176
181,21.77680225,38.0609606,lc,4.233521486,0,4.3,0
182,21.3318663,38.494599,lc,4.647324338,5.856901906,5.2,0
183,22.11056647,42.31136522,lc,3.756056657,0,4.2,0
184,23.61537132,41.38057606,lc,3.310422816,4.61549335,4,0
185,27.40171506,42.12240764,lc,3.787887646,0,4.4,0
186,26.08806805,46.32643876,bp,4.551831372,4.83831027,5,195
187,26.36302701,46.65852741,bp,6.46169069,7.002817496,6.6,195
188,26.10917963,46.69040539,bp,5.729577951,6.047887837,6.7,195
189,26.35622472,46.8162165,bp,3.9152116,4.010704566,4.6,195
190,25.93341499,46.75386456,bp,1.31,1.43,1.8,195
191,26.64557984,47.05211802,bp,10.56788822,10.75887415,9.5,195
192,26.92460011,46.94881381,bp,3.469577759,0,3.5,195
193,26.584829,47.33891185,bp,4.870141259,4.392676429,4.4,195
194,26.38270087,47.29090047,bp,1.35,1.48,2.7,195
195,26.12561572,47.27440252,bp,12.54140952,12.15943765,9.7,195
196,26.40294026,47.5768566,bp,2.38,0,3.2,195
197,25.84220132,46.93783711,bp,9.040000768,9.008169779,10.8,195
198,25.79147592,46.63889349,bp,2.928450953,0,2.8,195
199,30.57121376,48.90178856,bp,5.98422586,5.98422586,6.9,199
200,37.97262429,45.94387719,bp,12.63690248,12.92338138,10.7,202
201,37.58664551,46.05556767,bp,1.09,1.17,1.9,202
202,37.47892304,45.78060111,bp,18.36648043,0,5.9,202
203,37.19510181,45.58702726,bp,12.8597194,13.4326772,8.3,202
204,34.51139226,39.26488458,lc,2.12,3.596901714,3.3,0
205,38.3698319,35.03761996,lc,2.41,3.756056657,2.8,0
206,39.1773778,30.78338243,lc,1.89,0,2.9,0
207,30.12460227,24.75836887,lc,6.016056849,0,6.3,0
208,35.13941458,25.43477854,lc,11.77746579,0,4.3,0
209,33.93911007,24.00846752,pt,1.36,2.14,2.7,0
210,34.09414976,24.03738005,pt,0.46,0,1.8,0
211,35.20895174,23.34408758,bp,1.35,2.387324146,2.6,212
212,35.18994777,23.20537707,bp,6.780000576,7.703099246,6,212
213,37.16097263,18.58208924,lc,4.710986316,5.793239929,5.1,0
214,37.03769449,18.25834669,lc,2.1,3.023943919,2.5,0
215,36.7165148,18.17516332,lc,2.3,2.896619964,3,0
216,36.223985,18.90254352,lc,1.97,2.896619964,2.8,0
217,34.41219118,18.73482454,lc,3.437746771,0,2.7,0
218,32.17251558,17.93114137,bp,2.06,2.15,2.4,224
219,32.32412661,17.64319379,bp,2.93,3.151267873,4.2,224
220,32.41046455,17.50389089,bp,5.506761031,5.952394872,5.6,224
221,31.863786,17.93730716,bp,9.135493733,7.957747155,7.4,224
222,31.68550522,18.03348731,bp,7.766761223,8.180564075,7.2,224
223,31.64129049,17.86874086,bp,6.589014644,6.843662553,5.8,224
224,31.89674369,17.510168,bp,21.89972017,21.8042272,7.3,224
225,31.89179683,17.24741853,bp,4.901972247,5.188451145,4.3,224
226,32.11940718,17.11477675,bp,2.13,2.514648101,1.9,224
227,31.99938738,17.17616394,bp,2.832957987,2.960281942,3.1,224
228,32.26116972,17.23739045,bp,7.289296394,7.352958371,4.3,224
